"","SimulationNumber","InfectedNode","DayInfected","Community","TrialStatus","DayEnrolled"
"1",87,4804,58,50,NA,NA
"2",87,4772,65,50,NA,NA
"3",87,4868,66,50,NA,NA
"4",87,4882,66,50,0,56
"5",87,4795,68,50,NA,NA
"6",87,4796,69,50,0,56
"7",87,4783,70,50,0,56
"8",87,4793,71,50,0,56
"9",87,4848,71,50,NA,NA
"10",87,4869,71,50,0,56
"11",87,4778,72,50,0,56
"12",87,4809,72,50,NA,NA
"13",87,4835,72,50,0,56
"14",87,4851,72,50,NA,NA
"15",87,4831,73,50,NA,NA
"16",87,4777,74,50,0,56
"17",87,4812,74,50,0,56
"18",87,4817,74,50,0,56
"19",87,4861,74,50,NA,NA
"20",87,4870,74,50,NA,NA
"21",87,4843,75,50,NA,NA
"22",87,4850,75,50,NA,NA
"23",87,8005,75,82,0,56
"24",87,4788,76,50,NA,NA
"25",87,4873,76,50,0,56
"26",87,4815,77,50,0,56
"27",87,4852,77,50,NA,NA
"28",87,4775,78,50,0,56
"29",87,4857,78,50,NA,NA
"30",87,4860,78,50,0,56
"31",87,4805,79,50,NA,NA
"32",87,4836,79,50,0,56
"33",87,4855,79,50,0,56
"34",87,4779,80,50,NA,NA
"35",87,4819,80,50,0,56
"36",87,4823,81,50,0,56
"37",87,4824,81,50,NA,NA
"38",87,4832,81,50,0,56
"39",87,4841,81,50,0,56
"40",87,4845,81,50,NA,NA
"41",87,9281,81,94,NA,NA
"42",87,4784,82,50,NA,NA
"43",87,4790,82,50,0,56
"44",87,4826,82,50,0,56
"45",87,4828,82,50,0,56
"46",87,4837,82,50,0,56
"47",87,4840,82,50,0,56
"48",87,4792,83,50,NA,NA
"49",87,4814,83,50,NA,NA
"50",87,4825,83,50,NA,NA
"51",87,4858,83,50,0,56
"52",87,4862,83,50,0,56
"53",87,4878,83,50,0,56
"54",87,4880,83,50,0,56
"55",87,4884,83,50,NA,NA
"56",87,4771,84,50,0,56
"57",87,4807,84,50,0,56
"58",87,4813,84,50,0,56
"59",87,4834,84,50,NA,NA
"60",87,4842,84,50,NA,NA
"61",87,8061,84,82,NA,NA
"62",87,4785,85,50,NA,NA
"63",87,4802,85,50,NA,NA
"64",87,4849,85,50,0,56
"65",87,4776,86,50,0,56
"66",87,4789,86,50,NA,NA
"67",87,4838,86,50,NA,NA
"68",87,4876,86,50,0,56
"69",87,9243,86,94,NA,NA
"70",87,4774,87,50,0,56
"71",87,4780,87,50,0,56
"72",87,4827,87,50,NA,NA
"73",87,4830,87,50,0,56
"74",87,4844,87,50,0,56
"75",87,4875,87,50,NA,NA
"76",87,4769,88,50,NA,NA
"77",87,4864,88,50,0,56
"78",87,8019,88,82,NA,NA
"79",87,8057,88,82,0,56
"80",87,8063,88,82,0,56
"81",87,4773,89,50,NA,NA
"82",87,4797,89,50,NA,NA
"83",87,4798,89,50,0,56
"84",87,4799,89,50,NA,NA
"85",87,4800,89,50,0,56
"86",87,4829,89,50,NA,NA
"87",87,8003,89,82,0,56
"88",87,8007,89,82,0,56
"89",87,4794,90,50,NA,NA
"90",87,4874,90,50,0,56
"91",87,4786,91,50,0,56
"92",87,4856,91,50,0,56
"93",87,4867,91,50,NA,NA
"94",87,4883,91,50,0,56
"95",87,8067,91,82,0,56
"96",87,4770,92,50,0,56
"97",87,4847,92,50,NA,NA
"98",87,4854,92,50,NA,NA
"99",87,4866,92,50,NA,NA
"100",87,4872,92,50,0,56
"101",87,9254,92,94,0,56
"102",87,9289,92,94,NA,NA
"103",87,4833,93,50,NA,NA
"104",87,4859,93,50,NA,NA
"105",87,8043,93,82,NA,NA
"106",87,8065,93,82,NA,NA
"107",87,4821,94,50,0,56
"108",87,4853,94,50,NA,NA
"109",87,4877,94,50,NA,NA
"110",87,4801,95,50,0,56
"111",87,4803,95,50,0,56
"112",87,4811,95,50,0,56
"113",87,4816,95,50,NA,NA
"114",87,4818,95,50,NA,NA
"115",87,4820,95,50,0,56
"116",87,4822,95,50,NA,NA
"117",87,4863,95,50,NA,NA
"118",87,8040,95,82,NA,NA
"119",87,4782,96,50,NA,NA
"120",87,4787,96,50,0,56
"121",87,4808,96,50,0,56
"122",87,4871,96,50,0,56
"123",87,8026,96,82,NA,NA
"124",87,8055,96,82,0,56
"125",87,9278,96,94,0,56
"126",87,3827,97,40,NA,NA
"127",87,4846,97,50,NA,NA
"128",87,9302,97,94,0,56
"129",87,4879,98,50,0,56
"130",87,4881,98,50,NA,NA
"131",87,8049,98,82,NA,NA
"132",87,4781,99,50,NA,NA
"133",87,7996,99,82,0,56
"134",87,8030,99,82,0,56
"135",87,8031,99,82,0,56
"136",87,8041,99,82,0,56
"137",87,4806,100,50,0,56
"138",87,4885,100,50,NA,NA
"139",87,7988,100,82,0,56
"140",87,8052,100,82,NA,NA
"141",87,8054,100,82,0,56
"142",87,9269,100,94,NA,NA
"143",87,8045,101,82,0,56
"144",87,8062,101,82,NA,NA
"145",87,9189,101,94,NA,NA
"146",87,7999,102,82,0,56
"147",87,8012,102,82,NA,NA
"148",87,8048,102,82,NA,NA
"149",87,9213,102,94,0,56
"150",87,9252,102,94,NA,NA
"151",87,4865,103,50,NA,NA
"152",87,8028,103,82,0,56
"153",87,4839,104,50,NA,NA
"154",87,8023,105,82,0,56
"155",87,8053,105,82,0,56
"156",87,9300,105,94,0,56
"157",87,4791,106,50,NA,NA
"158",87,7992,106,82,0,56
"159",87,8015,106,82,NA,NA
"160",87,8058,106,82,NA,NA
"161",87,8060,106,82,0,56
"162",87,9285,106,94,0,56
"163",87,3847,107,40,NA,NA
"164",87,8027,107,82,NA,NA
"165",87,7991,108,82,NA,NA
"166",87,7998,108,82,0,56
"167",87,8017,108,82,NA,NA
"168",87,8047,108,82,0,56
"169",87,8068,108,82,0,56
"170",87,9270,108,94,0,56
"171",87,9284,108,94,NA,NA
"172",87,3871,109,40,0,56
"173",87,3875,109,40,0,56
"174",87,7990,109,82,NA,NA
"175",87,8008,109,82,0,56
"176",87,8011,109,82,NA,NA
"177",87,8016,109,82,0,56
"178",87,8021,109,82,0,56
"179",87,9228,109,94,NA,NA
"180",87,9230,109,94,NA,NA
"181",87,7995,110,82,0,56
"182",87,7997,110,82,NA,NA
"183",87,8004,110,82,NA,NA
"184",87,8024,110,82,NA,NA
"185",87,8042,110,82,NA,NA
"186",87,9262,110,94,NA,NA
"187",87,9306,110,94,0,56
"188",87,7993,111,82,NA,NA
"189",87,8006,111,82,NA,NA
"190",87,8025,111,82,NA,NA
"191",87,8056,111,82,NA,NA
"192",87,8064,111,82,0,56
"193",87,9207,111,94,NA,NA
"194",87,9218,111,94,NA,NA
"195",87,9234,111,94,0,56
"196",87,9267,111,94,NA,NA
"197",87,8038,112,82,NA,NA
"198",87,4810,113,50,NA,NA
"199",87,8002,113,82,NA,NA
"200",87,8018,113,82,NA,NA
"201",87,8046,113,82,NA,NA
"202",87,9295,113,94,0,56
"203",87,7989,114,82,0,56
"204",87,7994,114,82,NA,NA
"205",87,8009,114,82,NA,NA
"206",87,8022,114,82,0,56
"207",87,9233,114,94,NA,NA
"208",87,5939,115,61,0,56
"209",87,9238,115,94,NA,NA
"210",87,9245,115,94,0,56
"211",87,9266,115,94,NA,NA
"212",87,9271,115,94,0,56
"213",87,3841,116,40,NA,NA
"214",87,3850,116,40,NA,NA
"215",87,3880,116,40,0,56
"216",87,9192,116,94,0,56
"217",87,9242,116,94,0,56
"218",87,8010,117,82,NA,NA
"219",87,8044,117,82,0,56
"220",87,8059,117,82,NA,NA
"221",87,9240,117,94,NA,NA
"222",87,9249,117,94,0,56
"223",87,9265,117,94,NA,NA
"224",87,8033,118,82,0,56
"225",87,8039,118,82,0,56
"226",87,8066,118,82,0,56
"227",87,9196,118,94,NA,NA
"228",87,9209,118,94,NA,NA
"229",87,9229,118,94,NA,NA
"230",87,9303,118,94,NA,NA
"231",87,5885,119,61,NA,NA
"232",87,7987,119,82,0,56
"233",87,8029,119,82,0,56
"234",87,8032,119,82,0,56
"235",87,9210,119,94,NA,NA
"236",87,9263,119,94,NA,NA
"237",87,3828,120,40,NA,NA
"238",87,3898,120,40,0,56
"239",87,9194,120,94,0,56
"240",87,9219,120,94,0,56
"241",87,9239,120,94,0,56
"242",87,3897,121,40,0,56
"243",87,3899,121,40,0,56
"244",87,5909,121,61,0,56
"245",87,9251,121,94,NA,NA
"246",87,9273,121,94,NA,NA
"247",87,9274,121,94,NA,NA
"248",87,8034,122,82,NA,NA
"249",87,8037,122,82,0,56
"250",87,9198,122,94,NA,NA
"251",87,9215,122,94,NA,NA
"252",87,9257,122,94,NA,NA
"253",87,9305,122,94,NA,NA
"254",87,3844,123,40,NA,NA
"255",87,3874,123,40,0,56
"256",87,3876,123,40,0,56
"257",87,3902,123,40,0,56
"258",87,9217,123,94,NA,NA
"259",87,9220,123,94,NA,NA
"260",87,9232,123,94,0,56
"261",87,9247,123,94,0,56
"262",87,9260,123,94,NA,NA
"263",87,9276,123,94,NA,NA
"264",87,9304,123,94,0,56
"265",87,5922,124,61,NA,NA
"266",87,9206,124,94,0,56
"267",87,9248,124,94,NA,NA
"268",87,9283,124,94,NA,NA
"269",87,9287,124,94,NA,NA
"270",87,3864,125,40,NA,NA
"271",87,3877,125,40,0,56
"272",87,3900,125,40,0,56
"273",87,8020,125,82,NA,NA
"274",87,9197,125,94,0,56
"275",87,9296,125,94,0,56
"276",87,3865,126,40,0,56
"277",87,8000,126,82,0,56
"278",87,8014,126,82,NA,NA
"279",87,9214,126,94,0,56
"280",87,9250,126,94,NA,NA
"281",87,9290,126,94,NA,NA
"282",87,9291,126,94,NA,NA
"283",87,9298,126,94,NA,NA
"284",87,3830,127,40,NA,NA
"285",87,3873,127,40,NA,NA
"286",87,9191,127,94,0,56
"287",87,9211,127,94,0,56
"288",87,9224,127,94,0,56
"289",87,9225,127,94,0,56
"290",87,9231,127,94,0,56
"291",87,9253,127,94,NA,NA
"292",87,9292,127,94,0,56
"293",87,9299,127,94,NA,NA
"294",87,3861,128,40,0,56
"295",87,3905,128,40,0,56
"296",87,9193,128,94,NA,NA
"297",87,9201,128,94,0,56
"298",87,9208,128,94,0,56
"299",87,9259,128,94,NA,NA
"300",87,9275,128,94,0,56
"301",87,9279,128,94,0,56
"302",87,3852,129,40,0,56
"303",87,3853,129,40,NA,NA
"304",87,3867,129,40,NA,NA
"305",87,3878,129,40,0,56
"306",87,3889,129,40,0,56
"307",87,3890,129,40,NA,NA
"308",87,8035,129,82,NA,NA
"309",87,9205,129,94,0,56
"310",87,9221,129,94,0,56
"311",87,9237,129,94,0,56
"312",87,3838,130,40,0,56
"313",87,3858,130,40,0,56
"314",87,3862,130,40,NA,NA
"315",87,5872,130,61,0,56
"316",87,9203,130,94,NA,NA
"317",87,9212,130,94,NA,NA
"318",87,9241,130,94,0,56
"319",87,9256,130,94,0,56
"320",87,9261,130,94,0,56
"321",87,9293,130,94,NA,NA
"322",87,3823,131,40,NA,NA
"323",87,3879,131,40,0,56
"324",87,8050,131,82,NA,NA
"325",87,9200,131,94,NA,NA
"326",87,9236,131,94,0,56
"327",87,9244,131,94,0,56
"328",87,9272,131,94,NA,NA
"329",87,9286,131,94,0,56
"330",87,9301,131,94,0,56
"331",87,3829,132,40,0,56
"332",87,3831,132,40,NA,NA
"333",87,3870,132,40,NA,NA
"334",87,3901,132,40,NA,NA
"335",87,9222,133,94,0,56
"336",87,9246,133,94,NA,NA
"337",87,9294,133,94,0,56
"338",87,3872,134,40,NA,NA
"339",87,3903,134,40,0,56
"340",87,5940,134,61,NA,NA
"341",87,9216,134,94,NA,NA
"342",87,3856,135,40,NA,NA
"343",87,3866,135,40,0,56
"344",87,3882,135,40,0,56
